review,sentiment
"Great product, really loved it!",Positive
"Totally awful, will never buy again.",Negative
Absolutely amazing experience!,Positive
"Terrible, I am so disappointed.",Negative
"Worth every penny, fantastic value!",Positive
I would not recommend this to anyone.,Negative
Very satisfied with my purchase!,Positive
The worst purchase I've ever made.,Negative
"Exceeded my expectations, highly recommend!",Positive
"Very poor quality, not worth it at all.",Negative
"Great product, really loved it!",Positive
"Totally awful, will never buy again.",Negative
Absolutely amazing experience!,Positive
"Terrible, I am so disappointed.",Negative
"Worth every penny, fantastic value!",Positive
I would not recommend this to anyone.,Negative
Very satisfied with my purchase!,Positive
The worst purchase I've ever made.,Negative
"Exceeded my expectations, highly recommend!",Positive
"Very poor quality, not worth it at all.",Negative
"Great product, really loved it!",Positive
"Totally awful, will never buy again.",Negative
Absolutely amazing experience!,Positive
"Terrible, I am so disappointed.",Negative
"Worth every penny, fantastic value!",Positive
I would not recommend this to anyone.,Negative
Very satisfied with my purchase!,Positive
The worst purchase I've ever made.,Negative
"Exceeded my expectations, highly recommend!",Positive
"Very poor quality, not worth it at all.",Negative
"Great product, really loved it!",Positive
"Totally awful, will never buy again.",Negative
Absolutely amazing experience!,Positive
"Terrible, I am so disappointed.",Negative
"Worth every penny, fantastic value!",Positive
I would not recommend this to anyone.,Negative
Very satisfied with my purchase!,Positive
The worst purchase I've ever made.,Negative
"Exceeded my expectations, highly recommend!",Positive
"Very poor quality, not worth it at all.",Negative
"Great product, really loved it!",Positive
"Totally awful, will never buy again.",Negative
Absolutely amazing experience!,Positive
"Terrible, I am so disappointed.",Negative
"Worth every penny, fantastic value!",Positive
I would not recommend this to anyone.,Negative
Very satisfied with my purchase!,Positive
The worst purchase I've ever made.,Negative
"Exceeded my expectations, highly recommend!",Positive
"Very poor quality, not worth it at all.",Negative
"Great product, really loved it!",Positive
"Totally awful, will never buy again.",Negative
Absolutely amazing experience!,Positive
"Terrible, I am so disappointed.",Negative
"Worth every penny, fantastic value!",Positive
I would not recommend this to anyone.,Negative
Very satisfied with my purchase!,Positive
The worst purchase I've ever made.,Negative
"Exceeded my expectations, highly recommend!",Positive
"Very poor quality, not worth it at all.",Negative
"Great product, really loved it!",Positive
"Totally awful, will never buy again.",Negative
Absolutely amazing experience!,Positive
"Terrible, I am so disappointed.",Negative
